Unnamed: 0,U,出,W,menu,しょんぴ,Afrex,Afresh,ハコベル,pickg,7now,その他,計,Unnamed: 13,合計,frex,fresh,他,時給,Afrexh
2025/09/20,,,,,4950,,,,,,,"4,950",,1.5,,,1.5,"3,300",
2025/09/21,,,,,,12435,,,,,,"12,435","67,592",5.5,5.5,,0,"2,261",
2025/09/22,,,,,,8185,,,,,,"8,185",,3,3,,0,"2,728",
2025/09/23,,,,632,1980,13097,,,,,,"15,709",,2.5,2,,0.5,"6,284",
2025/09/24,,,,,,12278,,,,,,"12,278",,3.5,3.5,,0,"3,508",
2025/09/25,,,,,,12608,,,,,,"12,608",,4,4,,0,"3,152",
2025/09/26,,,,,,17387,,,,,,"17,387",,3.5,3.5,,0,"4,968",
2025/09/27,,,,,,15717,,,,,,"15,717",,3.5,3.5,,0,"4,491",
2025/09/28,,,,,,12279,,5400,,,,"17,679","99,563",3,3,,0,"5,893",
2025/09/29,,,,,1480,12443,,,,,,"13,923",,2.5,2,,0.5,"5,569",
2025/09/30,,,,,1980,8185,,,,,,"10,165",,2,1.5,,0.5,"5,083",
,,,,,,,,,,,,0,"24,088",,,,,,
合計,"8,086","3,372",0,632,"14,845","262,927",,"9,700",0,0,0,"299,562",,83,76,0,8,"3,609",0
